child_name,child_domain,parent_name,parent_domain,verified,evidence,verification_method,date_added
Monaco Research,0xmonaco.com,Monaco Research Inc.,0xmonaco.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:22
10up,10up.com,Fueled LLC.,fueled.com,Yes,"Fueled merged with 10up in September 2023, with 10up becoming an operating subsidiary and Fueled's WordPress practice brand.",LLM+web search (optimized),2026-05-15 15:44
NetEase,163.com,"NetEase, Inc.",163.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-17 02:32
Petmed Express Inc,1800petmeds.com,"PetMed Express, Inc.",1800petmeds.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-24 23:11
1QBit,1qbit.com,Terra Quantum AG,terraquantum.swiss,Yes,Terra Quantum AG acquired 1QBit in February 2024.,LLM+web search,2026-05-15 15:56
First Digital,1stdigital.com,Fireblocks Ltd.,fireblocks.com,Yes,"Fireblocks acquired First Digital for $100M in 2022, integrating the crypto payments platform into its operations.",LLM+web search,2026-05-15 15:46
24SevenOffice,24sevenoffice.com,KKR & Co. Inc.,kkr.com,Yes,KKR became majority owner of 24SevenOffice through acquisition; KKR controls more than 50% of the company.,LLM+web search,2026-05-15 15:50
3D Repo,3drepo.com,Asite 3D Repo LTD.,3drepo.com,Yes,"Asite publicly announced acquisition of 3D Repo in April 2023, and the parent record's domain (3drepo.com) matches, confirming the relationship.",LLM+web search,2026-05-15 16:11
3E,3e-tech.fr,"New Mountain Capital and Endicott Capital Holdings, LLC.",newmountaincapital.com,Yes,"New Mountain Capital, with Endicott Capital, publicly announced closing their acquisition of 3E from Verisk on March 11, 2022, with New Mountain serving as control investor.",LLM+web search,2026-05-15 16:14
Nityo 3P Solutions Pte Ltd,3psolutions.com,Nityo Infotech Services Pte Ltd.,nityo.com,Yes,Multiple sources confirm Nityo 3P Solutions Pte Ltd has been a fully owned subsidiary of Nityo Infotech Services Pte Ltd since 2013.,LLM+web search,2026-05-15 16:11
Fifth Third Bank,53.com,Fifth Third Bancorp,53.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-14 21:02
6sense,6sense.com,"6Sense Insights, Inc.",6sense.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-16 10:00
7digital,7digital.com,"Songtradr, Inc.",songtradr.com,Yes,Songtradr completed its acquisition of 7digital in March 2023 for about £19.4 million after shareholder and regulatory approval.,LLM+web search,2026-05-15 16:01
SimpleLogin,8alias.com,Proton AG,proton.me,Yes,SimpleLogin (operating on 8alias.com domain) owned by Proton AG following April 2022 acquisition,LLM+web search (optimized),2026-03-07 04:02
986 PHARMACY,986pharmacy.com,986 Degrees Corporation,986pharmacy.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-01-26 14:24
9am,9am.works,9am GmbH,9am.works,Yes,"Child and parent share the identical domain (9am.works), indicating 9am GmbH is simply the legal operating entity behind the 9am product.",LLM+web search,2026-05-15 16:13
"Ateam Holdings Co., Ltd.",a-tm.co.jp,"Ateam Holdings Co., Ltd.",a-tm.co.jp,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 12:00
A2IT Technology,a2it.com,Grupo Additive,a2it.com,Yes,A2IT Technology created in 2006 from merger of Additive Tecnologia and ATWB Consultoria within Grupo Additive.,LLM+web search,2026-05-15 15:47
American Airlines,aa.com,American Airlines Group Inc.,aa.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-14 10:10
Aarki,aarki.com,Skillz Inc.,skillz.com,Yes,Skillz completed acquisition of Aarki in July 2021 for approximately $160 million; Aarki became a wholly owned subsidiary.,LLM+web search (optimized),2026-05-15 15:41
anheuser-busch inbev,ab-inbev.com,Anheuser-Busch InBev SA/NV,ab-inbev.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 12:50
Ábaco Consulting,abacobr.consulting,Valantic GmbH (formerly Valantic ERP Consulting GmbH),valantic.com,Yes,Valantic GmbH acquired Ábaco Consulting in December 2021; Ábaco was rebranded to valantic BTT Portugal in 2023.,LLM+web search,2026-05-15 15:48
Abaqus,abaqus.cl,Dassault Systèmes S.A.,3ds.com,Yes,"Dassault Systèmes completed acquisition of ABAQUS Inc. (finite element analysis software) on October 4, 2005 for $413 million.",LLM+web search,2026-05-15 15:55
Abatable,abatable.com,Zero Imprint Ltd.,abatable.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-05 04:27
Alphabet Inc.,abc.xyz,Alphabet Inc.,abc.xyz,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-16 01:53
Abercrombie & Fitch,abercrombie.com,Abercrombie & Fitch Co.,corporate.abercrombie.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2025-09-19 00:47
